Layer Type,Layer Name,Layer Trainable
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A124DA0>,block6a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A12F940>,block6a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A12FCC0>,block6b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A14E8D0>,block6b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A154518>,block6b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A154630>,block6b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A16DD30>,block6b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A175898>,block6b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A1751D0>,block6b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A181128>,block6b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A1917F0>,block6b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A1953C8>,block6b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A195EF0>,block6b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A19CBA8>,block6b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A1A6828>,block6b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A1A6D30>,block6b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A1A6C88>,block6b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A1AF828>,block6c_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A1D82B0>,block6c_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A1D8860>,block6c_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A1D8780>,block6c_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A1F4A58>,block6c_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A1FA9E8>,block6c_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A1FA320>,block6c_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A206278>,block6c_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A215FD0>,block6c_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A21BB00>,block6c_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A223438>,block6c_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A223CF8>,block6c_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A22D940>,block6c_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A22DEB8>,block6c_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A22DDD8>,block6c_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A248978>,block6d_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A25E390>,block6d_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A25E7B8>,block6d_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A25E8D0>,block6d_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A27ABA8>,block6d_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A282B38>,block6d_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A282470>,block6d_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A28C3C8>,block6d_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A29EE10>,block6d_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A2A4C50>,block6d_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A2AA588>,block6d_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A2AAE48>,block6d_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A2B2A90>,block6d_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A2B2D68>,block6d_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A2C9E80>,block6d_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A2BD0F0>,block6e_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A2E6438>,block6e_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A2E6B00>,block6e_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A2E6A58>,block6e_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A3045C0>,block6e_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A308C88>,block6e_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A3085C0>,block6e_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A30F518>,block6e_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A322F60>,block6e_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3282B0>,block6e_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A32F7B8>,block6e_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3390B8>,block6e_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A339BE0>,block6e_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A339F98>,block6e_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A34FBA8>,block6e_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A343C88>,block6f_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A36D048>,block6f_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A36DC50>,block6f_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A36DBA8>,block6f_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A38A710>,block6f_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A38DDD8>,block6f_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A38D710>,block6f_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A398668>,block6f_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3AB630>,block6f_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3B2EF0>,block6f_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A3B8978>,block6f_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3BF128>,block6f_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A3BFD30>,block6f_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A3CA2B0>,block6f_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A3D7CF8>,block6f_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A3CA1D0>,block7a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A3F2198>,block7a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A3F2BE0>,block7a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A3F2710>,block7a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A412860>,block7a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A419B38>,block7a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A419E80>,block7a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A41D7B8>,block7a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A431780>,block7a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A439F60>,block7a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A441AC8>,block7a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A447278>,block7a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A447E80>,block7a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A451240>,block7b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A463E10>,block7b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A46DA58>,block7b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8A46DB70>,block7b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A485710>,block7b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A48DDD8>,block7b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8A48D710>,block7b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B8A494668>,block7b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A4A8630>,block7b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A4ACEF0>,block7b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A4B4978>,block7b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A4BC128>,block7b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A4BCD30>,block7b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B8A4C72B0>,block7b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B8A4D2CF8>,block7b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A4C71D0>,top_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8A4F3780>,top_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8A4F3D68>,top_activation,True
