Layer Type,Layer Name,Layer Trainable
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209D7580860>,block2c_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D7592F28>,block2c_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D75962E8>,block2c_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209D75A0630>,block2c_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D75AA3C8>,block2c_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209D75AAEF0>,block2c_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209D75B2470>,block2c_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209D75BFEF0>,block2c_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209D75B2390>,block3a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E601B358>,block3a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209E601BD30>,block3a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209E6031E10>,block3a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E89B0860>,block3a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209E89B0FD0>,block3a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209E89C1908>,block3a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209E89B7978>,block3a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E89D1080>,block3a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E89D1E10>,block3a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209E89D7C88>,block3a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E89DF438>,block3a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E89E40B8>,block3a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E89E4400>,block3b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E89FC160>,block3b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209E8A06EF0>,block3b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209E8A06C50>,block3b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E8A20898>,block3b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209E8A26BE0>,block3b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209E8A26EB8>,block3b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209E8A2F7F0>,block3b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E8A407B8>,block3b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E8A46F98>,block3b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209E8A4BB00>,block3b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E8A552B0>,block3b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209E8A55EB8>,block3b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209E8A5C438>,block3b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209E8A6AEB8>,block3b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209E8A5CEB8>,block3c_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F00AA320>,block3c_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F00AACF8>,block3c_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F00AAFD0>,block3c_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F00CA828>,block3c_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F00CAFD0>,block3c_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F025C8D0>,block3c_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F0253940>,block3c_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F026C048>,block3c_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F026CEF0>,block3c_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F0273C50>,block3c_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F027A400>,block3c_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F0282080>,block3c_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F0282588>,block3c_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F02824E0>,block3c_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F028FF98>,block4a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F02AE9B0>,block4a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F02AEFD0>,block4a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F02C4B00>,block4a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F02D1978>,block4a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F02D1B70>,block4a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F02E4A20>,block4a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F02D9A90>,block4a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F02F4198>,block4a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F02FB160>,block4a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F02FBDA0>,block4a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F0303550>,block4a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F030C1D0>,block4a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F030C518>,block4b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F27E61D0>,block4b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F27F8CF8>,block4b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F280ADD8>,block4b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F281B828>,block4b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F281BFD0>,block4b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F282E8D0>,block4b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F2823940>,block4b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F283B048>,block4b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F283BEF0>,block4b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F2844C50>,block4b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F284C400>,block4b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F2854080>,block4b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F2854588>,block4b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F28544E0>,block4b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F2861F60>,block4c_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F287D9B0>,block4c_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F287DFD0>,block4c_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F2893B00>,block4c_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F6260978>,block4c_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F6260B70>,block4c_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F6273A20>,block4c_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F6266A90>,block4c_se_reshape,True
